Benevolence,Universal,Self-direction,Stimulation,Hedonism,Achievement ,Power,Security,Conformity,Tradition,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
0.8,0.8,0.8,0.8,0.7,0.6,0.4,1.0,0.8,0.9,0.625,0.75,0.5,0.722,0.531
1.0,1.0,0.8,0.7,0.7,1.0,0.8,1.0,1.0,0.9,0.7,0.778,0.5,0.611,0.344
0.9,0.8,1.0,1.0,1.0,0.9,0.7,0.8,0.9,0.8,0.675,0.806,0.594,0.75,0.312
0.9,0.867,1.0,1.0,0.8,0.8,0.5,0.9,0.8,0.8,0.675,0.75,0.594,0.611,0.344
0.8,0.867,0.9,0.9,0.6,0.9,0.3,0.8,0.9,0.8,0.625,0.583,0.5,0.667,0.438
0.8,0.933,1.0,0.9,1.0,1.0,0.7,0.6,0.9,0.8,0.8,0.611,0.688,0.667,0.531
0.8,0.867,0.6,0.5,0.8,0.3,0.4,0.9,0.6,0.8,0.675,0.722,0.438,0.611,0.281
0.8,0.467,0.8,0.6,0.6,0.6,0.4,1.0,0.4,0.9,0.725,0.75,0.5,0.639,0.281
0.5,0.6,0.8,0.6,0.5,0.8,0.2,1.0,0.8,1.0,0.625,0.694,0.562,0.639,0.375
0.8,0.867,0.4,0.6,0.2,0.5,0.5,0.7,0.7,0.6,0.5,0.389,0.281,0.528,0.188
0.9,0.867,1.0,0.9,0.6,1.0,0.7,0.7,1.0,0.9,0.375,0.5,0.406,0.5,0.656
0.8,0.867,1.0,0.8,0.5,0.5,0.8,0.9,0.9,0.8,0.725,0.639,0.5,0.611,0.25
0.5,0.933,0.5,0.6,0.7,0.8,0.4,0.7,0.2,0.6,0.725,0.556,0.531,0.722,0.406
0.9,0.867,1.0,0.9,1.0,0.7,0.7,1.0,1.0,0.9,0.65,0.722,0.469,0.75,0.375
1.0,0.867,0.9,0.4,0.8,1.0,0.1,0.9,0.5,0.5,0.75,0.528,0.656,0.639,0.5
0.8,0.6,0.6,0.8,0.4,0.8,0.4,0.7,0.8,0.9,0.6,0.5,0.469,0.556,0.469
1.0,1.0,1.0,1.0,0.9,0.8,0.7,1.0,0.9,0.9,0.65,0.194,0.438,0.528,0.531
0.8,0.533,0.5,1.0,0.9,0.6,0.1,0.4,0.0,0.6,0.5,0.194,0.312,0.667,0.812
1.0,1.0,0.9,0.9,1.0,1.0,0.9,1.0,1.0,1.0,0.65,0.444,0.438,0.611,0.531
1.0,0.867,0.6,0.7,0.7,0.6,0.1,1.0,0.8,0.7,0.625,0.667,0.469,0.556,0.438
1.0,0.933,0.8,0.8,0.9,0.8,0.6,0.9,0.9,0.9,0.55,0.611,0.594,0.639,0.719
